Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
Merlin,60,2,Ohio,Take-off run,MOURNING DOVES ROOSTING ON RWY DURING NIGHT. RWY WAS WARMER THAN THE NIGHT AIR. DURING T/O THEY WOKE UP FROM LIGHTS AND NOISE AND THEY FLEW IN FRONT OF A/C.. INGESTED 1 OR MORE IN ENG.,Small,No Cloud,N,0,12.01225122
C,53,2,Texas,Landing Roll,DMG TO RT WING L/E. NO INJURIES. (REMARKS FROM EMAIL).,Medium,Some Cloud,N,0,10.81977828
Dornier,55,2,Nebraska,Take-off run,PILOT HEARD A NOISE SHORTLY AFTER V1.  ENG INSTRUMENTS SHOWED A POWER SURGE. PILOT SMELLED SOMETHING AND RETD TO LAND. 2 C1 FAN BLADES HAD TO BE REPLACED. 3 DAYS OF DOWNTIME.,Medium,Some Cloud,N,0,9.826660502
CL,64,2,Delaware,Landing Roll,"ID BY SMITHSONIAN FROM PHOTO. COST WAS FOR DOWN TIME FOR INSPN. NO DMG. BIRD SEEMED TO BE INTERESTED IN SOMETHING NEAR THE CENTERLINE (FOOD PERHAPS) AND FURTHER OFF TO THE SIDE OF THE RWY BUT STILL ON THE PAVEMENT, WAS A MUCH LARGER VULTURE TYPE BIRD.",Small,No Cloud,N,0,6.240275845
Citation,37,2,Rhode Island,Approach,ID BY SMITHSONIAN. 1 BIRD SEEN IN LANDING LIGHTS JUST BEFORE IMPACT ON WINDSHLD.,Small,No Cloud,N,2550,5.521460918
C,48,1,Washington,Climb,DID NOT SEE BIRD UNTIL IT APPEARED ON RT SIDE OF A/C. RT HORIZONTAL TAILE STRUCK. MINOR DMG. SUSPECT BIRD WAS OVERTAKEN SINCE IT DID NOT TAKE ANY EVASIVE ACTION.,Medium,No Cloud,Y,1400,8.85865297
MD,62,2,Missouri,Climb,"ID BY SMITHSONIAN, FAA 3477. PILOT NOTICED A BIRD, BELIEVE TO BE A RED-TAILED HAWK FLYING INTO THE ENGINE AS THE PLANE TOOK OFF. THE CREW DECLARED AN EMERGENCY, LEVELLED OFF AT 3000 FEET , SHUT THE ENGINE DOWN AND RETURNED TO LAND SAFELY A FEW MINUTES LAT",Medium,Some Cloud,Y,1100,12.93555417
PA,51,1,Michigan,Landing Roll,PAX SAW DEER JUST BEFORE IT HIT L WING. PLANE JERKED TO THE LEFT. PILOT KEPT CONTROL. SUBSTANTIAL DMG REPTD. MANAGER WITNESSED DEER & LEFT MINUTES BEFORE INCIDENT.,Large,No Cloud,N,0,10.50528669
C,49,1,Texas,Take-off run,"DURING INSTRUCTIONAL FLT JUST BEFORE ROTATION A/C STRUCK A DEER. IMPACT DENTED L SIDE OF ENG COWLING  PROP, COWL AND BOTTOM OF FUSELAGE. ALSO DAMAGED EXHAUST PIPE. A/C WAS BROUGHT TO A STOP ON THE RWY.   DMG REPTD AS MINOR ON ASIAS REPT. OTHER COST WAS FO",Large,No Cloud,N,0,10.69813029
Citation,28,2,Illinois,Landing Roll,"ATIS WARNING. ON LDG ROLL, ABOUT 4,000 FT DOWN RWY, PILOT REPORTED POSSIBLY HITTING SOME BIRDS. RWY CHECK FOUND 3 PIGEONS DEAD. FAN BLADE WAS DAMAGED.",Small,Some Cloud,Y,0,10.50971426
BE,48,2,Washington,Take-off run,DMGD RUBBER BOOT ON WING. SML HOLES PUNCHED IN IT BY BONES AND BEAKS AS THEY HIT LE OF WING. PATCHED AND DID NOT REPLACE AT THIS TIME.,Small,Overcast,N,0,4.787491743
Airbus,43,2,New York,Approach,THREE SMALL BIRDS BEEN CIRCLING OVER FINAL APRCH TO RWY 31 KLGA. STRUCK ONE OF THEM ON RADOME. NO DMG NOTED. EST OTHER COTS TO CALL OUT CONTRACT MX TO VISUALLY INSPECT A/C AND SIGN OFF A/C LOGBK.,Small,Some Cloud,Y,400,5.010635294
BD,54,,DC,Approach,LOCATION REPTD AS APPROX 10 MILES N KIAD. BIRD REPTD AS UNKNOWN ? DUCK.,Medium,No Cloud,N,2500,12.49479792
C,74,1,California,Climb,BIRD REPTD AS MED & LARGE. PHOTO ATTACHED. NOSE DENTD AND PAINT REMOVED,Large,No Cloud,N,560,6.345636361
B-737,38,2,Nebraska,Approach,NO DMG NOTED. UNABLE TO DETERMINE SPECIES. UNABLE TO COLLECT REMAINS. FINAL APRCH.,Small,Overcast,N,300,6.214608098
Learjet,28,2,Florida,Approach,ATIS WARNING. L ENG NACELLE DAMAGED,Medium,Some Cloud,Y,1500,10.67396608
Learjet,48,2,Pennsylvania,Climb,LOWER SIDE OF #2 ENG INLET WAS DAMAGED,Medium,No Cloud,Y,100,10.08942755
BE,45,2,Kansas,Approach,"ID BY SMITHSONIAN, FAA 3172. AFTER DESCENDING FROM IMC CONDITIONS BTWN YAVUP AND RGGO WAYPOINTS ON RNAV (GPS) RWY 31 APPROACH, A LOUD REPORT WAS HEARD BY FLT CREW AND PAX. INSPECT OF CO-PILOT WINDSCREEN WITH A FLASHLIGHT REVEALED FEATHERS AND BLOOD ON WIN",Small,Overcast,N,2000,9.03990786
CL,47,2,Pennsylvania,Climb,"ID BY SMITHSONIAN, 2400. ARFF RESPONDED. 4 FAN BLADES DAMAGED. COST REPTD AS $780 FOR EACH OF 4 FAN BLADES THAT HAD TO BE REPLACED. A/C WA OUT OF SERVICE FOR THE AFTERNOON.",Large,No Cloud,Y,1000,8.12474302
B-727,38,3,Kentucky,Approach,"F/O WAS FLYING. ABOUT 2 MI FROM T/D BIRD HIT JUST BELOW CENTER OF WINDSHLD. REMAINS SPREAD OUT UPWARD. BIRD WAS BOUT 8"" BEAK TO TAIL. COST WAS FOR 1HR INSPN.",Small,No Cloud,N,1500,3.828641396
MD,26,2,Texas,Approach,NO DMG. COST FOR INSPN.,Small,No Cloud,N,1500,4.844187086
MD,49,2,Missouri,Approach,"RADOME CRUSHED, RADAR ANTENNAE BENT. ID BY SMITHSONIAN FAA 403. REPLACEMENT RADOME BORROWED FROM AAL. REPLACED RADOME.  FLT DELAYED 1 HR.",Medium,Some Cloud,Y,400,10.68734343
B-767,50,2,California,Approach,"ID BY SMITHSONIAN, FAA 6572. DNA. HIT LWR RT AFT OF RADOME. BLOOD/FEATHERS STUCK TO A/C. NO DMG. COSTS FOR LABOR REPTD AS $200.",Small,Overcast,N,2000,5.298317367
C,62,1,North Carolina,Landing Roll,"DEER LEFT GRASS AREA BTWN WOODS AND RWY, ENTERED LDG AREA AND HIT A/C AT 90 DEGREE ANGLE IN RT LWR FIREWALL AREA,(NO DMG HERE), LWR WING LIFT STRUT AND RT MAIN LDG GEAR SUPPORT/STRUT. PILOT REPTD DEER'S HEAD HIT THE FUELING STEP WHICH IS JUST FWD OF THE W",Large,No Cloud,N,0,7.957177323
DA,62,3,Connecticut,Approach,ENG INSPN. NO DMG.,Small,No Cloud,N,10,5.940171253
BE,39,2,Kentucky,Approach,"BIRD REPTD AS"" STARLING SIZED BIRD"".",Small,Some Cloud,N,50,6.267200549
B-737,29,2,California,Climb,"BIRDSTRIKE ON ROTATION. IMMEDIATELY GOT STICK SHAKER AND IAS DISAGREE WARNINGS. F/O AIRSPEED WAS 60 KNOTS LESS THAN CAPT AND STANDBY INDICATORS. DURING VECTORS FOR A DOWNWIND RETURN TO OAK, BOTH EEC'S WENT TO ALTERNATE MODE. WE THEN EXPERIENCED A LOSS OF",Medium,No Cloud,Y,10,7.03966035
C,29,1,Ohio,Climb,"ID BY ARPT STAFF. HAWK IS RARE OF THIS LOCATION. HAWK HAD DEPTD RWY AFTER CATCHING PREY. AT T/O ROLL/ROTATION BEGAN, HAWK DROPPED PREY AND CAME BACK TO GET IT. STRIKE OCCURRED AT THIS TIME. WE CONTD T/O AND CAME BACK AROUND FOR PREC LDG TO INSPECT FOR DMG",Medium,No Cloud,N,40,6.240275845
DHC,35,2,Washington,Approach,HIT 3 BIRDS. FOUND CRACK IN NOSE DOME.,Medium,Overcast,Y,3500,9.028098812
Pilatus,42,1,Kentucky,Approach,REMAINS CLEANED OFF WING AND INSPECTED. NO DMG AND RETURNED TO SERVICE. LOCATION REPTD AS 1SM FINAL FOR RWY 4.,Small,No Cloud,N,200,5.521460918
Airbus,45,2,New York,Approach,A STORM HAD JUST PASSED THRU THE NY AREA. ARPTS HAD BEEN CLOSED FOR SEVERAL HRS. WE WERE 1ST A/C INTO LGA. SAW A FLOCK OF GULLS ABOUT 75' OFF THE GROUND. TIME WAS 9:30-10). HIT 15-20 BIRDS. FOUND INGESTION ON #1 ENG. SUSPECT INGESTION IN #2 ENG. FOUND BIR,Medium,Some Cloud,N,75,7.502738211
Citation,43,2,New York,Climb,"FOLLOWING ROTATION, A FLOCK OF GULLS (ABOUT 15-20) FLEW DIRECTLY THRU OUT FLT PATH. AS WE WERE FAIRLY SLOW, WE COULD ONLY MANEUVER SLIGHTLY TO AVOID THE BULK OF THE BIRDS AND ONLY TOOK 1 STRIKE. IT HIT THE LWR L PART OF RADOME. AS WE DID NOT HAVE ANY NOTI",Medium,Overcast,Y,30,9.232395363
Piaggio,28,2,Maryland,Approach,SML BIRD (LIKELY A SPARROW) HIT LIP OF #1 ENG INLET. BIRD WAS CHOPPED IN HALF. PART WENT UNDER NACELLE AND PART WAS FOUND AGAIN ENG INTAKE SCREEN.,Small,Some Cloud,N,600,6.37331979
Mooney,32,1,Michigan,Take-off run,"HIT DEER ON T/O. PILOT IMMEDIATELY ABORTED T/O AND RETURNED TO THE RAMP AREA. LEFT WING, LOWER FUSELAGE, PROP AND LEFT MAIN  LDG GEAR WERE DAMAGED. REPTD AS SUBSTANTIAL. ENGINE WA OVERHAULED. WING AND DEICING SYSTEM WERE DAMAGED. REPAIR NOT COMPLETED AS O",Large,No Cloud,N,0,11.23532573
Airbus,30,2,Florida,Climb,"DURING GEAR RETRACTION AFTER T/O, A LRG BIRD APPEARED IN FRONT OF A/C. DESCENDING FROM TOP RT TO BOTTOM LEFT IN FRONT OF COCKPIT. BIRD HIT WITH A LRG THUD UNDER PILOT'S  FEET. PREC LDG. INSPN FOUND NO DMG. REMAINS ID BY WILDLF BIOL AT ARPT.",Medium,No Cloud,N,200,8.265907334
B-737,76,2,Connecticut,Approach,A/C WAS OUT OF SERVICE < 1 HR.,Medium,No Cloud,Y,6000,5.834810737
PA,60,2,Illinois,Approach,"PILOT REPTD PAINT DMG ON NOSE. CALLED ROC AND NOTIFIED FSDO PER PILOT'S REQUEST. SMASHED NOSE. 3 GEESE IN RT ENG. 1 LODGED IN NOSE. GLANCING BLOWS IN L ENG. RT ENG OK. REPLACED NOSE, RADAR, NOSE BOWL.",Large,Some Cloud,Y,50,11.21298186
B-737,55,2,New Mexico,Take-off run,ID BY SMITHSONIAN. FAA 4045. WHOLE FEATHER. A/C TIME OUT OF SERV REPTD AS 0.5 HRS. FLOCK OF BIRDS FLEW IN FRONT OF A/C DURING T/O ROLL  AT HIGH SPEED. NONE INGESTED. ALL ENG INDICATIONS  NORMAL. AFTER INSPN AT  DEST 3 SMALL BIRDS HAD IMPACTED THE LEFT WIN,Small,Some Cloud,Y,0,5.730099783
C,43,2,Missouri,Approach,"ID BY SMITHSONIAN, FAA 3066. NO DNA. RT INBD WING LEADING EDGE JUST OUTBOARD OF INTERCOOLER INLET 6"" WIDE, 1"" DEEP DEPRESSION, BENT SKIN PANEL, STRINGER AND DEICE BOOT. LEFT HORIZ STABILIZER LEADING EDGE DENTED AND WRINKLED ALONG WITH DEICE BOOT.",Large,No Cloud,N,1500,10.51583132
MD,47,2,Illinois,Approach,,Medium,Overcast,Y,500,5.298317367
SA,49,2,Alaska,Climb,"POSSIBLY A SMALL DUCK. PILOT REPTD A/C OUT OF SERVICE 1/2 HR., MX SUPV REPD 2 HRS.",Small,No Cloud,N,5000,6.424869024
Citation,46,2,South Carolina,Climb,WE CONTD 25 MIN FLT TO PDK BECAUSE THERE WAS NO INDICATION OF ANY PROBLEM ON ENG INSTRUMENTS. BIRD WAS NOT SEEN UNTIL IT WAS TOO LATE TO REACT. LEFT ENG NACELLE WAS DENTED. PHOTO SENT FEATHERS STICKING OUT OF SEAM..,Large,Some Cloud,N,2000,7.455298486
CIRRUS SR 20/22,56,1,Maryland,Approach,"ID BY SMITHSONIAN, FAA 2109. SAW A FLOCK OF LRG BLACK BIRDS FAR AWAY. I AM NOT SURE IF BIRD I HIT WAS SAME TYPE. WHILE ON DOWNWIND I HEARD A NOISE BUT DID NOT SEE ANY BIRDS. DMG WAS TO FIBERGLASS WHEEL COVER ON NOSE WHEEL. FIST SIZED HOLE. BIRD LEFT FEATH",Large,No Cloud,N,1000,7.70616297
Hawker,68,2,New Jersey,Take-off run,"ABORTED T/O AFTER INGESTING A GULL IN BYPASS FAN PORTION OF  L ENG.  THUMP & HOWL CAME FROM ENG. BOTH MAIN TIRES DEFLATED THROUGH HEAT PLUGS. INSPECTIONS COMPLETED AND MAIN LDG GEAR, WHEELS, TIRES AND BRAKE ASSEMBLIES ARE BEING TESTED AND/OR REPLACED AS N",Medium,Some Cloud,N,0,12.8558712
B-737,55,2,Arizona,Climb,JUST AFTER ROTATION 3/4 DOWN RWY. VIBRATION WAS FELT IN #2 ENG. NOT SHUT DOWN. RETD TO LAND. 4 DAMAGED FAN BLADES (C1 COMPRESSOR FAN BLADES VALUED AT 7700 EACH). ENG WAS DISMANTELED AND ALL FAN BLADES WERE REPLACED. 3 CANCELLED FLTS AND 1 DELAYED DUE TO A,Small,Some Cloud,N,30,10.49316132
C,50,2,New Jersey,Landing Roll,CRACKED PROPELLER AND DAMAGED HUB. UNKN ENG DMG. TEARDOWN INSPN IN PROGRESS,Large,No Cloud,N,0,11.64035956
BE,72,1,California,Landing Roll,DEER DAMAGED THE WING FLAP ONLY. DEER WAS SEEN LEAVING BUT PROBABLY JUST FAR ENOUGH TO DIE JUDGING FROM THE DAMAGE SEEN. A/C WAS FERRIED TO A REPAIR FACILITY ABOUT 2 WEEKS AFTER THE ACCIDENT. (DATA ENTRY NOTE: ASSUME TIME OUT OF SVC AT A MINIMUM OF 2 WEEK,Large,No Cloud,Y,0,10.59227524
DA,47,2,Florida,Approach,HIT FUSELAGE JUST ABOVE PILOTS WINDOW.,Small,Some Cloud,N,15,6.240275845
B-737,46,2,Tennessee,Take-off run,NO DMG. BIRD HIT #1 COWLING (RT SIDE) LIP AND DEFLECTED TO BOTTOM INBOARD RT WING.,Small,No Cloud,Y,0,5.298317367
B-737,50,2,Alabama,Approach,PITOT PROBE REPLACED.,Small,Some Cloud,Y,50,8.032684876
B-727,63,3,Wisconsin,Climb,"L WINGTIP LENS BROKEN, L NAV LIGHT MISSING LENS COVER.",Medium,Some Cloud,N,3000,6.80461452
B-737,52,2,California,Approach,RADAR WAS ON. MULTI FAN BLADES SHINGLED AND DMG TO OIL COOLER. ENG REMOVED. ID BY SMITHSONIAN FAA 985. (DAILY REPORT FROM TWR SAID DMG UNKN),Large,Some Cloud,Y,500,11.67108239
B-737,66,2,DC,Approach,"ID BY SMITHSONIAN FAA 128. LH OIL COOLER PLUGGED WITH REMAINS OF INGESTED BIRD. CLEANED FAN COWL, BLADES, STATOR BLADES AND FAN CORE. BORESCOPED #1 ENG. (TWR REPTD #2 ENG AND THAT A/C WAS TAKEN OUT OF SERVICE TO CHANGE THE ENG). REPLACED ENTIRE SET OF FAN",Large,No Cloud,N,100,13.23513476
Airbus,54,2,California,Approach,"BIRD HIT UPPER EDGE OF RADOME, REMAINS ONTO CAPT'S WINDSHLD. NO DMG FOUND. COST WAS FOR MAINT INSPN. FLT 2809",Small,No Cloud,N,400,5.272999559
G,61,2,Prince Edward Island,Climb,CREW UNAWARE OF STRIKE. FLT CONTD. DMG TO LE OF L WING FOUND ON POST FLT INSPN. LE DENTED OTBD OF #2 ENG. ASSEMBLY IS A QUICK CHANGE UNIT.,Large,Some Cloud,Y,10,10.46712382
CL,46,2,Florida,Approach,DENTED RT WING LEADING EDGE 8 TO 11 INCHES WIDE AND 2 INCHES DEEP. PHOTOS. MX WILL REPALCED THE SKIN.,Large,No Cloud,Y,1500,9.093806556
Hawker,52,2,Texas,Approach,"HAWK OR OWL INGESTED BUT DID NOT CUT OUT ENG. NO PAX. COST FOR LEASING ANOTHER AIRCRAFT WAS $20,000.",Medium,No Cloud,N,100,10.94360524
EMB,61,2,Indiana,Approach,"#2 ENG INLET DMG (COWLING DENTED ABOUT 12"" BY 4"" BY 3"" DEEP. NOT SUBSTANTIAL DMG. PILOT SAW LRG BLACK LOOKING BIRD, POSSIBLE GOOSE. NO REMAINS COLLECTED. STRIKE WAS ABOUT 1 MILE OFF ARPT PERIMETER.",Large,No Cloud,N,500,10.32400546
B-737,46,2,California,Climb,"ID BY SMITHSONIAN, FAA 2661. 3 FAN BLADES DAMAGED IN LEFT ENG. REMAINS FOUND IN COWLING. (DATA ENTRY NOTE: COST INFORMATION GATHERED FROM A CERTIFIED MECHANIC FOR B-737 AS A MINIMUM COST OF REPAIRS, DID  NOT COME FROM SWA.)",Medium,No Cloud,Y,500,11.40567427
C,43,1,California,Approach,RT WING DAMAGED SEVERELY. A/C GROUNDED FOR AT LEAST A MONTH. USED FOR DRUG TASK FORCE,Large,No Cloud,Y,200,9.905784912
PA,41,1,California,Landing Roll,"ATIS WARNING. BIRDS STOOD N RWY. COLOR CAMOUFLAGED BIRDS. 1 HIT LE OF RT WING TIP, CAUSING DENT.",Small,Some Cloud,Y,0,4.17438727
CL,29,2,Utah,Landing Roll,,Medium,Overcast,Y,0,9.574983486
C,37,1,Arizona,Climb,"SAW BIRD JUST AFTER ROTATION. I TRIED TO AVOID BIRD BY TURNING, BUT IT FLEW INTO THE DIRECTION I HAD TURNED.",Large,No Cloud,N,500,8.270013062
Citation,52,2,South Carolina,Take-off run,"NO SMELL OF BIRD IN ENG. WE CONTD FLT. LOST ITT GAUGE OUT OF 11,000'. LATER FOUND TI PROBE WAS HIT AND INGESTED THRU ENG.",Medium,Overcast,N,0,12.67200236
BE,26,2,Oklahoma,Descent,HIT 2 SML BIRDS ON NOSE & #1 ENG. DMG UNKN AT THIS TIME. NO DMG FOUND UPON BORESCOPE. COST WAS FOR INSPN.,Small,No Cloud,N,4000,8.07184315
B-737,53,2,California,Approach,STRUCK RADOME NEAR NOSE AND DEFLECTED OFF CAPT SIDE FRONT WINDSHIELD. LOCATION REPTD AS 11NM NNW KSNA.,Medium,Overcast,Y,3000,5.991464547
B-737,47,2,Maryland,Climb,NO DMG. LDG LIGHTS WERE ON. 20 MINS OUT OF SERVICE,Medium,Overcast,N,6000,6.320768294
Airbus,58,2,New York,Climb,"DMG LIMITED TO RADOME SHOWED SINGS OF DELAM, DENT AND CRACKS. DMG LOCATED ON LOWER PART OF LT SIDE.",Medium,No Cloud,N,800,11.18261421
DA,49,3,California,Take-off run,OCCURRED AT ROTATION POINT PAST V1,Medium,Some Cloud,N,0,9.853036009
B-737,56,2,Texas,Approach,NO DMG,Small,Some Cloud,N,3500,4.025351691
C,52,2,Texas,Climb,JUST AFTER ROTATION CLIMBING THRU OVERCAST LAYER. PAX FROM BACK NOTIFIED ME AND PT TO RT ENG. ALL ENG GAUGES NORMAL BUT VISUAL OF RT ENG A HEAVY LAYER OF OIL ENVELOPING IT AND GUSHING FROM FRONT OF ENG. IMMED REQUESTED RETURN TO KBPT AND ON ROLLOUT SHUR D,Small,Overcast,N,500,7.029972912
B-757,95,2,California,Climb,"ID BY SMITHSONIAN, FAA 2258. BIRD(S) INGESTED IN RT ENG. DECLARED EMERGENCY SHUT DOWN RT ENG & RETD TO LAND. BASED ON ENG DMG AND DISTRIBUTION OF DEBRIS (INLET ACOUSTIC TREATMENT, 13 FAN BLADES DAMAGED AND REQD REPLACEMENT. ENG WAS NOT SHUT DOWN UNTIL ON",Medium,Overcast,N,1000,14.56280259
Gulfaero,52,2,Illinois,Take-off run,DAMAGED TWO ROTOR BLADES,Medium,Overcast,N,0,9.473934649
CL,46,2,Michigan,Approach,COSMETIC DMG. RADOME BOOT REPLACED. A/C WAS NOT TAKEN OUT OF SERVICE.,Small,Overcast,N,200,5.402677382
Learjet,78,2,Virginia,Climb,STRIKE NOT REPTD TO AIRPORT. ENG REQD BLADE REPLACEMENT.,Small,Some Cloud,N,5,11.64805932
C,50,2,Indiana,Landing Roll,"A/C HIT HAWK LANDING RWY 23 FIRST 1000 FT. DMG TO L WING BOOT, 1/2 IN HOLE. A/C GROUNDED UNTIL INSPN. A/C WAS FERRIED OUT FOR REPAIRS",Medium,No Cloud,Y,0,9.337589573
Airbus,41,2,Kentucky,Approach,,Medium,Some Cloud,N,1900,4.025351691
BE,39,2,South Dakota,Approach,,Large,Overcast,Y,1800,9.838468916
Learjet,75,2,New York,Climb,"BIRD HIT RT WING AT MID-POINT. DENTED LE 8"" X 2.5"" X .25""",Medium,Overcast,N,2000,8.849800827
B-727,64,3,Missouri,Climb,COST FOR INSPN. BLOOD FOUND ON RADOME.,Small,No Cloud,N,4000,3.970291914
C,42,1,Utah,Landing Roll,SHORTLY AFTER T/D A/C HIT A DEER. DAMAGED NOSE COWLING. (ASSUME MULE DEER),Large,No Cloud,N,0,9.299541017
C,43,2,Texas,Take-off run,DMG TO L ENG STATORS. MX REMOVED FEATHERS FROM INTERIOR OF TURBINE. ID BY SMITHSONIAN.,Small,No Cloud,Y,0,11.28946936
B-737,55,2,Texas,Descent,"PILOT HEARD A LOUD THUMP BLOW AND AFT OF RADOME DURING DESCENT PASSING 8,000 FT MSL. POST FLT INSPN FOUND BLOOD SMEAR JUST FWD OF POWER ACCESS DOOR ON LWR RT SIDE OF RADOME. NO DMG.",Small,No Cloud,N,4000,4.543294782
C,47,2,Kentucky,Climb,COST WAS FOR INSPN & CLEANUP,Medium,No Cloud,N,100,7.975220839
Airbus,45,2,Florida,Approach,"ID BY SMITHSONIAN, FAA 1877. INGESTED IN #2 ENG. MX INSPN. NO DMG.",Medium,No Cloud,Y,400,5.402677382
MD,29,2,Illinois,Take-off run,REMAINS COLLECTED BY ORD WILDLF CONTROL AGNT.,Medium,Overcast,N,0,10.7123267
Socata,71,1,Illinois,Approach,BIRDSTRIKE ON RT WING DURING RIGHT DOWNWIND RWY 5. PILOT DID NOT SEE BIRD. LARGE DENT. A/C WILL BE OUT OF SERVICE ABOUT 5 WEEKS.,Medium,Some Cloud,N,800,8.373091847
B-737,52,2,California,Approach,1 BIRD HIT FUSELAGE AFT AND BELOW F/O'S SIDE WINDOW (R-2). INSPN BY CONTRACT MX. NO DMG. ROBIN-SIZED BIRD. COST $150 FOR MX. OUT OF SERVICE 20 MINS.,Small,Some Cloud,N,75,5.062595033
B-737,44,2,Washington,Descent,"ID BY SMITHSONIAN, FAA 3141. DNA AND WHOL FEATHER ALL SHOWED SAME SPECIES. LRG INDENTATION ON NOSE RADOME. APPROX SIZE OF FOOTBALL. PROBALBY REPAIRABLE. IF NOT, COST $300,000. PHOTOS OF DMG.",Small,Overcast,N,14000,8.906393407
Hawker,32,2,Texas,Landing Roll,5 MEDIUM BLACK BIRDS WERE FOUND ON RWY. PILOT SAW 15-20. REPTD A DENT IN WING & RT OTBD WITH POSSIBLE DMG TO ENG AND OTHER PARTS OF A/C.,Medium,Some Cloud,N,0,9.120087383
B-737,30,2,Arizona,Approach,MEDIUM BIRD STRUCK L UPPER RADOME JUST BELOW #1 WINDOW. REMAINS SMEARED UPWARD BUT DID NOT OBSCURE VISIBILITY. NO DMG. NO INJURIES.,Medium,No Cloud,Y,3500,4.65396035
PA,53,1,Florida,Approach,"MED-SIZED BLACK BIRD. DENTED.  WINGTIP DMG. SHATTERED RECOG LIGHT. POSSIBLY A TURKEY VULTURE. (DATA ENTR NOTE: STRIKE ALSO REPTD BY OPS SUPV, WHO SHOWED  PHASE AS CLIMB AND EFFECT AS PREC LDG)",Medium,Some Cloud,N,900,5.834810737
Airbus,87,2,California,Climb,ID BY SMITHSONIAN. PILOT REPTD INGESTING BIRD AT ABOUT 400 FT RIGHT AFTER T/O BUT DID NOT SEE THE BIRD. PASSENGERS SAW FLAMES COMING FROM #1 ENG. PILOT SAID THE ENG STALLED OUT AND HE COULD SMELL SMOKE.  AIRLINE REPORT  SAID THAT BOTH ENGINES WERE SHUT DO,Medium,Overcast,N,400,13.81551056
B-737,32,2,Texas,Climb,RETD TO LAND DUE TO BIRDSTRIKE AND BAD ODOR IN CABIN. FLT LANDED W/O INCIDENT. HIT RT LE FLAP.,Small,Some Cloud,N,200,5.402677382
B-737,44,2,Arizona,Climb,"NO DMG. SPOT ON WINDSHLD 12"" X 6 "".",Medium,No Cloud,N,4000,4.709530201
Learjet,56,2,Arkansas,Climb,"BIRDS REPTD AS SMALL, SPARROW SIZE, SEVERAL OF THEM.",Small,No Cloud,N,100,5.730099783
BE,42,2,Alabama,Take-off run,DENT IN L WING LE,Small,Some Cloud,N,0,9.36999019
BE,36,2,Indiana,Landing Roll,"HERD OF DEER KNOWN TO LIVE ON/AROUND ARPT. NUMBER OVER 20. PILOT SAID DMG WAS MINOR BASED ON ICAO DEFINITION. SLIGHTLY BENT PROPELLER, BENT FLAP AND DENT IN LEADING EDGE.  ENG HAD TO BE DISASSEMBLED AND INSPECTED.(AAIPN FORM SAID SUBSTANTIAL AS DID DAILY",Large,Some Cloud,N,0,11.05481879
PA,39,1,Massachusetts,Take-off run,EXTERNAL DMG TO WING ROOT FAIRING. REPLACED FIBERGLASS FAIRING.,Medium,Overcast,N,0,7.365812837
BA,56,2,California,Approach,WARNED BY POSTER IN FBO. BIRD WENT THRU BYPASS. POSSIBLY AN OWL. NO OBVIOUS DMG.,Medium,Some Cloud,Y,150,7.81197343
PA,55,2,Minnesota,Approach,"DATA ENTRY NOTE: UNCERTAIN HOW PREC LDG MADE WHILE ON APCH UNLESS DOING TOUCH AND GO. DAMAGE TO BOTH WINDSHIELDS, NOSE BAGGAGE DOOR, &  TAIL. AIRCRAFT WILL BE OUT OF SERVICE UNTIL MARCH 2012.",Large,Overcast,Y,1000,10.86306763
C,50,1,Pennsylvania,Climb,DEER WALKED INTO PATH OF A/C. TRIED TO PULL UP OVER IT AND STRUCK WHEEL PANT AND GEAR LEG. DENTED FUSELAGE UNDER PILOT'S DOOR.,Large,No Cloud,N,2,7.81197343
Learjet,74,2,Florida,Climb,BOTTOM HALF OF BIRD INGESTED IN #1 ENG. REQUIRED OVERHAUL.,Large,No Cloud,Y,10,13.92094837
B-737,68,2,Texas,Take-off run,POSSIBLE GULL. NO DMG. MX INSPN. STRIKE WAS REPTD IMMEDIATELY TO DAL TWR FOR POSSIBLE FOD.,Medium,Overcast,N,0,4.736198448
AT,56,,Texas,Take-off run,,Small,No Cloud,Y,0,8.358666283
MD,29,2,Texas,Descent,RT WING LDG LIGHT BROKEN. NEVER SAW BIRD. SML REMAINS ON LIGHT FIXTURE.,Small,No Cloud,N,15000,5.298317367
Learjet,47,2,Colorado,Approach,ENG WAS CLEANED OF BIRD DEBRIS. NO FURTHER WORK WAS REQUIRED.,Small,Some Cloud,N,300,7.896924656
CIRRUS SR 20/22,54,1,Massachusetts,Landing Roll,"HIT DEER CROSSING RWY JUST AFTER LDG. HIT MID RT WING, DMG TO WING, FLAPS AND WHEEL BOOT. NO INJURIES.",Large,Overcast,Y,0,8.884056062
B-737,47,2,Washington,Approach,ID BY SMITHSONIAN. BIRDSTRIKE ON APCH ON CHINS 7 ARRIVAL INTO KSEA JUST OVER RADDY INTXN. VMC CONDITIONS. A/C WAS NOT SERVICEABLE AND WAS FERRIED TO KMSP FOR REPAIRS. SPARE A/C WAS FLOWN TO KSEA TO TRANSPORT PAX THAT WERE SCHEDULED ON DAMAGED A/C. FAA REP,Small,Some Cloud,N,12000,10.81977828
Learjet,62,2,Texas,Take-off run,STATOR BLADES BENT. STRIKE AT ROTATION.,Small,No Cloud,Y,0,12.48193388
